,temp,clouds,pressure,wind,humidity
1459713600,18.84,99,1018,2.87,72
1459720800,16.96,98,1019,2.13,77
1459764000,12.17,43,1019,0.63,83
1459771200,12.97,75,1021,0.0,79
1459778400,16.78,19,1020,1.5,70
1459785600,19.25,29,1018,2.25,62
1459792800,22.17,40,1017,1.5,40
1459800000,23.18,90,1016,2.62,47
1459807200,19.71,98,1015,1.85,65
1459850400,15.09,100,1014,1.08,67
1459857600,12.67,40,1015,0.0,80
1459864800,18.59,94,1014,0.67,59
1459872000,21.69,97,1012,1.29,53
1459879200,20.47,90,1013,2.6,46
1459886400,20.87,100,1015,0.86,58
1459893600,17.7,56,1014,2.08,79
1459936800,10.34,71,1013,0.72,78
1459944000,10.67,9,1015,0.0,94
1459951200,17.29,13,1015,0.32,60
1459958400,19.42,0,1014,1.6,58
1459965600,22.27,20,1014,2.6,46
1459972800,24.04,3,1014,2.76,47
1459980000,18.03,16,1015,2.18,73
1460023200,13.54,98,1015,0.38,81
1460030400,11.57,40,1018,0.0,89
1460037600,16.86,85,1016,1.03,66
1460044800,18.98,89,1015,1.49,63
1460052000,19.97,75,1015,3.1,53
1460059200,20.41,23,1014,2.76,57
1460066400,16.36,12,1013,1.67,73
1460109600,12.35,3,1014,0.64,72
1460116800,8.77,1,1016,0.0,91
1460124000,17.63,15,1015,1.37,61
1460131200,19.79,4,1015,2.2,59
1460138400,22.97,20,1013,1.0,39
1460145600,21.69,26,1014,2.37,55
1460152800,17.74,8,1014,1.84,69
1460196000,10.22,0,1016,0.37,83
