date,tmin,tmax,temp,rh,rhmin,rhmax,wind,cod_wc,ra,et0_pmfao56_raxwc
2021-05-28,9.25,19.16,12.813541666666666,76.479375,46.1,91.78,1.5054166666666668,0.6271875,17.799011541233167,1.43475203229489
2021-05-29,8.38,17.49,12.194583333333334,73.70593749999999,51.2,90.68,0.9396875,0.4242708333333334,17.69550959877231,1.132085749371175
2021-05-30,9.56,21.36,14.428125,51.286875,27.4,78.59,1.2765625,0.5719791666666667,17.596158912304027,1.8596755869198252
2021-05-31,10.27,20.24,14.298854166666668,43.21083333333333,29.09,57.38,1.0858333333333332,0.17656249999999996,17.50098438571509,1.5976958091568254
2021-06-01,10.96,19.8,14.91375,43.150625,28.76,64.9,0.9025,0.12979166666666675,17.41000955455702,1.2691570170213242
2021-06-02,11.45,22.54,16.116875,60.00364583333334,39.3,78.02,1.0647916666666666,0.3458333333333333,17.323256610735168,1.5277744712952925
2021-06-03,12.49,22.89,16.4071875,58.63041666666667,39.1,74.57,1.0590625,0.3788541666666666,17.240746427242645,1.58880016406381
2021-06-04,11.15,18.04,14.162604166666666,65.21124999999999,48.2,89.4,0.8177083333333334,0.0008333333333331305,17.162498582803057,0.43848847382838235
2021-06-05,8.66,19.11,13.511458333333332,72.3465625,49.3,95.83,1.0113541666666668,0.28374999999999995,17.088531386287734,1.1128832719616728
2021-06-06,8.32,17.43,12.415833333333332,62.36729166666667,42.71,80.34,1.21,0.011354166666666887,17.018861900775242,0.7189592245660339
2021-06-07,7.94,19.29,12.6378125,57.69822916666666,40.2,76.53,1.0479166666666666,0.3723958333333335,16.953505967123995,1.3977879480319348
2021-06-08,9.66,19.08,12.995416666666666,50.86177083333333,26.0,71.1,1.086875,0.22062499999999996,16.892478226932162,1.5208819112747087
2021-06-09,8.48,18.63,12.85125,65.5096875,40.55,88.14,1.1625,0.2930208333333333,16.835792144763012,1.2769446031455647
2021-06-10,8.86,19.42,13.120937499999998,66.9384375,36.4,96.4,1.1309375,0.5643750000000001,16.783460029518697,1.3529555926932848
2021-06-11,9.28,22.02,14.8715625,40.726875,16.0,74.75,1.3461458333333332,0.5457291666666666,16.735493054850483,2.0396740508345035
2021-06-12,10.7,22.8,15.648333333333332,31.066458333333333,17.6,54.3,1.1516666666666666,0.9736458333333333,16.6919012784992,2.62949073249197
2021-06-13,9.36,21.1,14.5734375,47.99041666666667,28.5,67.09,0.7260416666666667,0.5677083333333335,16.6526936604661,1.3534166964136678
